date,西湖,河口湖,山中湖,精進湖,本栖湖
1998-04-01,-1.72,-3.67,1.39,-2.4,-2.76
1998-04-02,-1.7,-3.62,1.48,-2.38,-2.76
1998-04-03,-1.64,-3.59,1.49,-2.35,-2.76
1998-04-04,-1.63,-3.58,1.48,-2.32,-2.67
1998-04-05,-1.61,-3.57,1.48,-2.29,-2.66
1998-04-06,-1.6,-3.55,1.48,-2.24,-2.65
1998-04-07,-1.56,-3.52,1.52,-2.23,-2.6
1998-04-08,-1.53,-3.5,1.52,-2.22,-2.59
1998-04-09,-1.5,-3.47,1.55,-2.21,-2.57
1998-04-10,-1.46,-3.44,1.55,-2.18,-2.55
1998-04-11,-1.44,-3.42,1.55,-2.16,-2.54
1998-04-12,-1.41,-3.41,1.55,-2.15,-2.53
1998-04-13,-1.39,-3.38,1.56,-2.1,-2.49
1998-04-14,-1.33,-3.33,1.65,-1.96,-2.37
1998-04-15,-1.09,-3.2,1.83,-1.48,-2.06
1998-04-16,-0.87,-3.11,1.87,-0.9,-1.86
1998-04-17,-0.7,-3.04,1.87,-0.75,-1.75
1998-04-18,-0.54,-2.98,1.88,-0.69,-1.67
1998-04-19,-0.41,-2.94,1.87,-0.68,-1.61
1998-04-20,-0.31,-2.9,1.87,-0.68,-1.57
1998-04-21,-0.25,-2.87,1.87,-0.69,-1.52
1998-04-22,-0.2,-2.84,1.86,-0.7,-1.48
1998-04-23,-0.16,-2.82,1.86,-0.71,-1.44
1998-04-24,-0.11,-2.79,1.87,-0.7,-1.38
1998-04-25,-0.07,-2.76,1.88,-0.7,-1.34
1998-04-26,-0.05,-2.74,1.89,-0.69,-1.31
1998-04-27,-0.03,-2.72,1.88,-0.69,-1.29
1998-04-28,-0.02,-2.7,1.87,-0.69,-1.26
1998-04-29,-0.01,-2.68,1.87,-0.69,-1.25
1998-04-30,0,-2.67,1.87,-0.69,-1.23
1998-05-01,0,-2.65,1.87,-0.69,-1.08
1998-05-02,0,-2.63,1.87,-0.67,-1.06
1998-05-03,0.01,-2.6,1.97,-0.63,-1.04
1998-05-04,0.03,-2.58,1.99,-0.62,-1
1998-05-05,0.03,-2.57,1.98,-0.61,-0.97
1998-05-06,0.04,-2.55,1.98,-0.6,-0.94
1998-05-07,0.05,-2.54,1.98,-0.59,-0.92
1998-05-08,0.06,-2.53,1.98,-0.58,-0.9
1998-05-09,0.07,-2.52,1.99,-0.57,-0.88
1998-05-10,0.07,-2.51,1.99,-0.57,-0.87
1998-05-11,0.08,-2.51,1.98,-0.57,-0.85
1998-05-12,0.09,-2.48,2.02,-0.55,-0.84
1998-05-13,0.1,-2.47,2.06,-0.54,-0.82
1998-05-14,0.1,-2.48,2.03,-0.54,-0.8
1998-05-15,0.1,-2.48,2.02,-0.54,-0.78
1998-05-16,0.1,-2.49,2.02,-0.54,-0.76
1998-05-17,0.12,-2.47,2.07,-0.5,-0.75
1998-05-18,0.13,-2.48,2.08,-0.48,-0.74
1998-05-19,0.15,-2.46,2.11,-0.47,-0.72
1998-05-20,0.15,-2.46,2.11,-0.46,-0.7
1998-05-21,0.16,-2.47,2.1,-0.45,-0.78
1998-05-22,0.16,-2.47,2.1,-0.44,-0.76
1998-05-23,0.16,-2.48,2.1,-0.44,-0.74
1998-05-24,0.17,-2.48,2.12,-0.43,-0.72
1998-05-25,0.28,-2.45,2.3,0.07,-0.4
1998-05-26,0.41,-2.43,2.3,0.32,-0.24
1998-05-27,0.5,-2.42,2.3,0.38,-0.17
1998-05-28,0.6,-2.43,2.28,0.41,-0.15
1998-05-29,0.68,-2.42,2.29,0.42,-0.08
1998-05-30,0.76,-2.41,2.31,0.44,-0.04
1998-05-31,0.81,-2.42,2.31,0.45,-0.01
1998-06-01,0.86,-2.42,2.31,0.45,0.01
1998-06-02,0.9,-2.43,2.31,0.46,0.03
1998-06-03,0.94,-2.42,2.31,0.46,0.05
1998-06-04,0.97,-2.41,2.33,0.46,0.06
1998-06-05,0.98,-2.42,2.33,0.46,0.08
1998-06-06,1,-2.43,2.34,0.46,0.1
1998-06-07,1.01,-2.43,2.33,0.46,0.11
1998-06-08,1.02,-2.44,2.32,0.46,0.12
1998-06-09,1.02,-2.44,2.33,0.46,0.12
1998-06-10,1.05,-2.42,2.36,0.46,0.13
1998-06-11,1.06,-2.42,2.37,0.46,0.14
1998-06-12,1.06,-2.41,2.38,0.46,0.16
1998-06-13,1.06,-2.42,2.38,0.47,0.17
1998-06-14,1.08,-2.41,2.42,0.5,0.18
1998-06-15,1.11,-2.38,2.45,0.52,0.21
1998-06-16,1.12,-2.39,2.45,0.54,0.23
1998-06-17,1.13,-2.39,2.46,0.54,0.25
1998-06-18,1.13,-2.39,2.46,0.54,0.27
1998-06-19,1.14,-2.39,2.46,0.55,0.29
1998-06-20,1.18,-2.36,2.56,0.58,0.31
1998-06-21,1.19,-2.37,2.56,0.59,0.33
1998-06-22,1.24,-2.31,2.65,0.7,0.35
1998-06-23,1.32,-2.27,2.68,0.75,0.38
1998-06-24,1.37,-2.26,2.68,0.77,0.41
1998-06-25,1.41,-2.24,2.69,0.78,0.44
1998-06-26,1.43,-2.23,2.69,0.8,0.46
1998-06-27,1.42,-2.22,2.7,0.83,0.49
1998-06-28,1.39,-2.22,2.7,0.85,0.5
1998-06-29,1.37,-2.22,2.71,0.88,0.51
1998-06-30,1.34,-2.21,2.71,0.88,0.52
1998-07-01,1.31,-2.21,2.71,0.87,0.53
1998-07-02,1.29,-2.21,2.72,0.85,0.53
1998-07-03,1.26,-2.22,2.72,0.83,0.53
1998-07-04,1.23,-2.22,2.73,0.81,0.53
1998-07-05,1.2,-2.22,2.73,0.79,0.53
1998-07-06,1.17,-2.22,2.73,0.77,0.53
1998-07-07,1.14,-2.23,2.73,0.75,0.52
1998-07-08,1.11,-2.23,2.74,0.73,0.52
1998-07-09,1.09,-2.24,2.74,0.71,0.52
1998-07-10,1.06,-2.25,2.74,0.69,0.51
1998-07-11,1.05,-2.25,2.74,0.68,0.51
1998-07-12,1.04,-2.24,2.75,0.67,0.51
1998-07-13,1.04,-2.21,2.77,0.67,0.51
1998-07-14,1.02,-2.22,2.78,0.65,0.5
1998-07-15,0.99,-2.22,2.78,0.63,0.5
1998-07-16,0.97,-2.23,2.78,0.62,0.49
1998-07-17,0.96,-2.22,2.8,0.6,0.49
1998-07-18,0.95,-2.22,2.79,0.59,0.48
1998-07-19,0.93,-2.23,2.8,0.58,0.47
1998-07-20,0.9,-2.24,2.8,0.57,0.47
1998-07-21,0.88,-2.24,2.8,0.55,0.46
1998-07-22,0.85,-2.26,2.8,0.53,0.46
1998-07-23,0.83,-2.26,2.84,0.52,0.45
1998-07-24,0.83,-2.24,2.88,0.52,0.45
1998-07-25,0.82,-2.22,2.9,0.51,0.45
1998-07-26,0.81,-2.21,2.93,0.5,0.45
1998-07-27,0.8,-2.22,2.93,0.51,0.46
1998-07-28,0.79,-2.22,2.94,0.55,0.5
1998-07-29,0.84,-2.2,2.94,0.59,0.56
1998-07-30,0.85,-2.2,2.95,0.61,0.57
1998-07-31,0.85,-2.18,2.98,0.63,0.58
1998-08-01,0.85,-2.18,2.97,0.62,0.59
1998-08-02,0.85,-2.18,2.97,0.62,0.6
1998-08-03,0.84,-2.19,2.95,0.61,0.61
1998-08-04,0.84,-2.19,2.94,0.61,0.61
1998-08-05,0.84,-2.19,2.93,0.61,0.62
1998-08-06,0.84,-2.17,2.93,0.6,0.62
1998-08-07,0.84,-2.17,2.93,0.58,0.61
1998-08-08,0.83,-2.17,2.92,0.56,0.6
1998-08-09,0.82,-2.18,2.9,0.54,0.58
1998-08-10,0.8,-2.19,2.89,0.52,0.56
1998-08-11,0.79,-2.2,2.88,0.51,0.51
1998-08-12,0.77,-2.21,2.87,0.49,0.49
1998-08-13,0.75,-2.22,2.86,0.47,0.47
1998-08-14,0.74,-2.23,2.85,0.45,0.45
1998-08-15,0.72,-2.24,2.84,0.44,0.44
1998-08-16,0.7,-2.25,2.83,0.43,0.43
1998-08-17,0.68,-2.26,2.82,0.42,0.42
1998-08-18,0.66,-2.27,2.81,0.41,0.41
1998-08-19,0.64,-2.28,2.8,0.41,0.41
1998-08-20,0.62,-2.3,2.79,0.41,0.41
1998-08-21,0.59,-2.31,2.78,0.39,0.39
1998-08-22,0.57,-2.32,2.77,0.37,0.37
1998-08-23,0.55,-2.34,2.76,0.35,0.35
1998-08-24,0.53,-2.35,2.75,0.33,0.33
1998-08-25,0.5,-2.36,2.74,0.31,0.31
1998-08-26,0.53,-2.36,2.74,0.28,0.28
1998-08-27,0.58,-1.96,2.74,0.27,0.27
